error 2020-05-19T20:47:26.272 thread-0  main.cpp:131                  main                 ] /Users/anka/eos/libraries/appbase/application.cpp(229): Throw in function bool appbase::application::initialize_impl(int, char **, vector<appbase::abstract_plugin *>)
Dynamic exception type: boost::wrapexcept<std::runtime_error>
std::exception::what: Unknown option '--fill-pg' passed as command line argument

info  2020-05-19T20:50:32.932 thread-0  block_log.cpp:659             repair_log           ] Recovered block 203000
info  2020-05-19T20:50:32.943 thread-0  block_log.cpp:659             repair_log           ] Recovered block 204000
info  2020-05-19T20:50:32.957 thread-0  block_log.cpp:659             repair_log           ] Recovered block 205000
info  2020-05-19T20:50:32.969 thread-0  block_log.cpp:659             repair_log           ] Recovered block 206000
info  2020-05-19T20:50:32.987 thread-0  block_log.cpp:659             repair_log           ] Recovered block 207000
info  2020-05-19T20:50:33.012 thread-0  block_log.cpp:659             repair_log           ] Recovered block 208000
info  2020-05-19T20:50:33.023 thread-0  block_log.cpp:659             repair_log           ] Recovered block 209000
info  2020-05-19T20:50:33.033 thread-0  block_log.cpp:659             repair_log           ] Recovered block 210000
info  2020-05-19T20:50:33.043 thread-0  block_log.cpp:659             repair_log           ] Recovered block 211000
info  2020-05-19T20:50:33.053 thread-0  block_log.cpp:659             repair_log           ] Recovered block 212000
info  2020-05-19T20:50:33.063 thread-0  block_log.cpp:659             repair_log           ] Recovered block 213000
info  2020-05-19T20:50:33.073 thread-0  block_log.cpp:659             repair_log           ] Recovered block 214000
info  2020-05-19T20:50:33.084 thread-0  block_log.cpp:659             repair_log           ] Recovered block 215000
info  2020-05-19T20:50:33.094 thread-0  block_log.cpp:659             repair_log           ] Recovered block 216000
info  2020-05-19T20:50:33.104 thread-0  block_log.cpp:659             repair_log           ] Recovered block 217000
info  2020-05-19T20:50:33.125 thread-0  block_log.cpp:659             repair_log           ] Recovered block 218000
info  2020-05-19T20:50:33.139 thread-0  block_log.cpp:659             repair_log           ] Recovered block 219000
info  2020-05-19T20:50:33.149 thread-0  block_log.cpp:659             repair_log           ] Recovered block 220000
info  2020-05-19T20:50:33.159 thread-0  block_log.cpp:659             repair_log           ] Recovered block 221000
info  2020-05-19T20:50:33.169 thread-0  block_log.cpp:659             repair_log           ] Recovered block 222000
info  2020-05-19T20:50:33.182 thread-0  block_log.cpp:659             repair_log           ] Recovered block 223000
info  2020-05-19T20:50:33.200 thread-0  block_log.cpp:659             repair_log           ] Recovered block 224000
info  2020-05-19T20:50:33.212 thread-0  block_log.cpp:659             repair_log           ] Recovered block 225000
info  2020-05-19T20:50:33.222 thread-0  block_log.cpp:659             repair_log           ] Recovered block 226000
info  2020-05-19T20:50:33.232 thread-0  block_log.cpp:659             repair_log           ] Recovered block 227000
info  2020-05-19T20:50:33.242 thread-0  block_log.cpp:659             repair_log           ] Recovered block 228000
info  2020-05-19T20:50:33.259 thread-0  block_log.cpp:659             repair_log           ] Recovered block 229000
info  2020-05-19T20:50:33.270 thread-0  block_log.cpp:659             repair_log           ] Recovered block 230000
info  2020-05-19T20:50:33.285 thread-0  block_log.cpp:659             repair_log           ] Recovered block 231000
info  2020-05-19T20:50:33.295 thread-0  block_log.cpp:659             repair_log           ] Recovered block 232000
info  2020-05-19T20:50:33.305 thread-0  block_log.cpp:659             repair_log           ] Recovered block 233000
info  2020-05-19T20:50:33.314 thread-0  block_log.cpp:659             repair_log           ] Recovered block 234000
info  2020-05-19T20:50:33.331 thread-0  block_log.cpp:659             repair_log           ] Recovered block 235000
